Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
232,January - M011997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,35.3,58.7,NA,365
233,January - M011997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,23,55.7,NA,216
234,January - M011997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,73.6,177.3,NA,287
95,January - M011997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,28,57.1,NA,438
202,January - M011997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,95
151,January - M011997,Andhra Pradesh,Hyderabad,NA,Industrial Area,12.3,9,NA,78
152,January - M011997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",22.1,28.4,NA,182
150,January - M011997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",20,16,NA,111
232,February - M021997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,33.9,40.2,NA,362
233,February - M021997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,35.7,76.9,NA,263
234,February - M021997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,78.7,265.2,NA,275
202,February - M021997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,98
151,February - M021997,Andhra Pradesh,Hyderabad,NA,Industrial Area,11.6,10,NA,95
152,February - M021997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",11.9,23.7,NA,215
150,February - M021997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",15.6,22.7,NA,192
232,March - M031997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,43.2,34.7,NA,368
233,March - M031997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,55,80.8,NA,267
234,March - M031997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,50.7,217.8,NA,262
203,March - M031997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,81
95,March - M031997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,7.9,29.5,NA,193
202,March - M031997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,120
151,March - M031997,Andhra Pradesh,Hyderabad,NA,Industrial Area,13.6,10.2,NA,143
152,March - M031997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",11.2,19.2,NA,203
150,March - M031997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",16.2,21.8,NA,216
232,April - M041997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,24.4,33.7,NA,238
233,April - M041997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,24,29.7,NA,132
234,April - M041997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,43.7,75.1,NA,264
202,April - M041997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,132
95,April - M041997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,32.8,86.1,NA,266
203,April - M041997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,10.4,33.8,NA,33
151,April - M041997,Andhra Pradesh,Hyderabad,NA,Industrial Area,12.3,8,NA,76
152,April - M041997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",12,14.7,NA,115
150,April - M041997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",13.2,15.2,NA,87
232,May - M051997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,27.8,37.1,NA,300
233,May - M051997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,26.1,28.4,NA,153
234,May - M051997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,35.7,40.2,NA,284
202,May - M051997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,318
203,May - M051997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,6.1,20.9,NA,70
151,May - M051997,Andhra Pradesh,Hyderabad,NA,Industrial Area,7.6,9.2,NA,99
152,May - M051997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.5,13.1,NA,126
150,May - M051997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.7,18.2,NA,128
232,June - M061997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,37.2,33.8,NA,308
233,June - M061997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,26,33,NA,140
234,June - M061997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,48.3,62.6,NA,292
202,June - M061997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,204
95,June - M061997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,32.5,41.2,NA,197
203,June - M061997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,20.7,44.7,NA,72
151,June - M061997,Andhra Pradesh,Hyderabad,NA,Industrial Area,6.1,5.6,NA,54
152,June - M061997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",9,8.1,NA,88
150,June - M061997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6.9,14.6,NA,112
232,July - M071997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,32.9,43.2,NA,314
233,July - M071997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,35.3,35.6,NA,128
234,July - M071997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,37.1,44.5,NA,159
202,July - M071997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,6,113.3,NA,146
95,July - M071997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,17.5,22.9,NA,213
203,July - M071997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,18.1,63,NA,108
151,July - M071997,Andhra Pradesh,Hyderabad,NA,Industrial Area,7.2,4,NA,59
152,July - M071997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",9.3,8,NA,105
150,July - M071997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.6,9.7,NA,118
232,August - M081997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,22.5,33.3,NA,270
233,August - M081997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,21.9,28.8,NA,115
234,August - M081997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,27.7,67.7,NA,198
202,August - M081997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,38.1,123.3,NA,274
95,August - M081997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,36.9,46.1,NA,191
203,August - M081997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,29.1,28.7,NA,158
151,August - M081997,Andhra Pradesh,Hyderabad,NA,Industrial Area,6.3,6.8,NA,50
152,August - M081997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",12,10.9,NA,91
150,August - M081997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.5,6.5,NA,144
232,September - M091997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,21.8,59.5,NA,330
233,September - M091997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,28,39.9,NA,123
234,September - M091997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,24.1,108.6,NA,199
151,September - M091997,Andhra Pradesh,Hyderabad,NA,Industrial Area,12.3,5,NA,54
152,September - M091997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",21.2,20.5,NA,111
150,September - M091997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",13.9,6.3,NA,134
232,October - M101997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,21,38.5,NA,441
233,October - M101997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,16.7,26.4,NA,151
