Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/2/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.7,40.7,136,367
1/4/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,48.5,163,371
1/8/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.6,56.9,120,373
1/10/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,52.6,152,366
14-01-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,37.3,116,378
16-01-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,56.7,105,334
20-01-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,7.2,66.6,169,433
22-01-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,7.2,66.6,192,386
26-01-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,35.7,118,321
2/4/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,37.8,94,268
2/8/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,36.4,80,303
2/10/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,37.3,68,337
14-02-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,41.5,105,317
16-02-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,33.3,117,316
20-02-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,35.5,110,340
22-02-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,42.9,181,471
26-02-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.7,41.6,102,351
28-02-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,34.9,104,371
3/2/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,35.4,126,334
3/4/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,34.7,116,394
3/8/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.8,35.8,79,300
3/10/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,33.1,82,294
14-03-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,34.9,94,305
16-03-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.7,35.8,137,283
20-03-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,62.9,155,380
22-03-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,37,115,361
26-03-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,30.3,170,423
4/2/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,31.7,89,289
4/8/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,31.7,89,284
4/10/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,35,88,282
14-04-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,35.8,113,371
18-04-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,34.4,56,179
20-04-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,32.8,119,311
22-04-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,7.7,39.9,81,347
26-04-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,7,31.6,88,237
28-04-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.7,23.4,87,263
5/2/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,27.2,70,287
5/4/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.9,28.7,74,276
5/8/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,12,33.2,75,263
5/11/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.6,34.7,89,282
14-05-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.8,35.8,82,367
16-05-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,31.2,91,286
20-05-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.9,32.1,71,260
22-05-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,37.3,78,327
26-05-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,30,96,298
6/2/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,31.1,69,311
6/4/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,32.3,94,246
6/8/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,33.4,34,197
6/10/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,34.2,64,210
16-06-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,30.5,50,200
18-06-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,36,58,256
20-06-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,6.1,33.5,40,225
22-06-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,32.2,67,164
26-06-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.8,32.8,80,204
7/2/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.6,31.9,97,404
7/4/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.7,33.3,81,284
7/8/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5,32.9,76,403
14-07-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,33,74,308
16-07-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,27.7,52,272
24-07-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.9,31.4,69,360
26-07-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,34,71,263
28-07-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.7,30.3,69,240
8/2/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.1,21.1,52,244
8/4/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,27.7,63,246
8/8/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,26.3,69,283
