"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
748,01-03-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,9,111,NA
748,01-06-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,9,118,NA
748,01-09-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,9,87,NA
748,01-11-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,9,85,NA
748,16-01-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,9,86,NA
748,19-01-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,9,83,NA
748,21-01-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,9,92,NA
748,24-01-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,9,90,NA
748,27-01-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,9,93,NA
748,02-03-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,100,NA
748,02-06-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,95,NA
748,02-09-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,101,NA
748,02-11-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,103,NA
748,17-02-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,103,NA
748,20-02-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,87,NA
748,22-02-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,9,85,NA
748,24-02-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,87,NA
748,26-02-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,94,NA
748,03-03-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,84,NA
748,03-06-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,81,NA
748,03-09-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,87,NA
748,03-11-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,63,NA
748,15-03-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,73,NA
748,19-03-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,68,NA
748,22-03-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,9,89,NA
748,25-03-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,91,NA
748,28-03-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,69,NA
748,04-03-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,92,NA
748,04-06-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,104,NA
748,04-09-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,117,NA
748,04-11-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,92,NA
748,15-04-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4,10,91,NA
748,19-04-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,78,NA
748,22-04-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,9,79,NA
748,25-04-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,74,NA
748,28-04-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,76,NA
748,05-03-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,96,NA
748,05-06-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,74,NA
748,05-09-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,50,NA
748,05-11-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,82,NA
748,17-05-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,89,NA
748,19-05-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,65,NA
748,22-05-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,9,86,NA
748,25-05-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,84,NA
748,28-05-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,85,NA
748,06-03-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,81,NA
748,06-06-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,61,NA
748,06-09-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,55,NA
748,06-11-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,56,NA
748,17-06-14,Andhra Pradesh,Ananthapur,"Kamalanagar, Ananthapur",Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5,10,75,NA
