Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
233,01-01-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,18,46,NA
233,04-01-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,8,18,27,NA
233,07-01-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,15,29,NA
233,10-01-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,17,78,NA
233,13-01-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,23,35,NA
233,16-01-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,15,30,NA
233,19-01-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,18,76,NA
233,22-01-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,8,12,42,NA
233,25-01-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,18,39,NA
233,01-02-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,6,11,39,NA
233,04-02-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,10,15,47,NA
233,07-02-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,14,53,NA
233,10-02-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,17,57,NA
233,13-02-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,8,13,70,NA
233,16-02-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,10,64,NA
233,19-02-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,5,10,52,NA
233,22-02-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,5,9,38,NA
233,25-02-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,16,48,NA
233,01-03-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,15,90,NA
233,04-03-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,6,11,110,NA
233,07-03-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,6,10,91,NA
233,10-03-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,6,11,62,NA
233,13-03-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,14,94,NA
233,16-03-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,11,53,NA
233,19-03-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,12,18,93,NA
233,22-03-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,16,153,NA
233,25-03-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,10,17,73,NA
233,01-04-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,11,18,90,NA
233,04-04-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,14,24,62,NA
233,07-04-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,6,13,54,NA
233,10-04-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,8,22,50,NA
233,13-04-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,11,30,NA
233,16-04-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,14,118,NA
233,19-04-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,12,115,NA
233,22-04-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,11,72,NA
233,25-04-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,17,38,NA
233,01-05-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,8,19,49,NA
233,04-05-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,6,9,53,NA
233,07-05-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,10,29,54,NA
233,10-05-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,18,69,NA
233,13-05-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,5,12,76,NA
233,16-05-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,5,11,70,NA
233,19-05-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,8,19,78,NA
233,22-05-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,6,10,55,NA
233,25-05-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,6,14,118,NA
233,01-06-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,14,45,NA
233,04-06-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,13,43,NA
233,07-06-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,22,41,NA
233,10-06-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,17,36,NA
233,13-06-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,11,20,84,NA
233,16-06-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,6,12,28,NA
233,19-06-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,12,17,NA
233,22-06-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,8,21,21,NA
233,25-06-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,21,30,NA
233,01-07-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,6,15,34,NA
233,04-07-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,6,9,34,NA
233,07-07-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,9,23,38,NA
233,10-07-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,8,20,30,NA
233,13-07-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,17,29,NA
233,16-07-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,7,16,22,NA
233,19-07-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,5,12,41,NA
233,22-07-15,Andhra Pradesh,Visakhapatnam,"Industrial Estate, Marripalem, Visakhapatnam",Andhra Pradesh State Pollution Control Board,Industrial Area,4,9,33,NA
