Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
247,January - M011998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,15.1,24,NA,265
248,January - M011998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,13.2,NA,88
154,January - M011998,Gujarat,Ahmedabad,NA,Industrial Area,35.7,30.9,NA,247
155,January - M011998,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",19.5,34.9,NA,450
153,January - M011998,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",9.1,20,NA,224
247,February - M021998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,12.6,20.6,NA,188
248,February - M021998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,13.2,NA,189
154,February - M021998,Gujarat,Ahmedabad,NA,Industrial Area,26,27.6,NA,237
155,February - M021998,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",18.9,26.1,NA,623
153,February - M021998,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",8.8,16.7,NA,297
247,March - M031998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,12.6,19,NA,164
248,March - M031998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,14,NA,75
154,March - M031998,Gujarat,Ahmedabad,NA,Industrial Area,22,29.8,NA,431
155,March - M031998,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",19.7,31.7,NA,578
153,March - M031998,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",9.1,16.4,NA,359
247,April - M041998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,14.3,21.1,NA,164
248,April - M041998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,13,NA,211
154,April - M041998,Gujarat,Ahmedabad,NA,Industrial Area,9.2,17.3,NA,243
155,April - M041998,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",7.5,21,NA,336
153,April - M041998,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",6.6,8.8,NA,167
247,May - M051998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,14.1,22,NA,175
248,May - M051998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,12.1,NA,203
154,May - M051998,Gujarat,Ahmedabad,NA,Industrial Area,7.6,15.9,NA,375
155,May - M051998,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",6.2,35.3,NA,536
153,May - M051998,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",6,8.3,NA,343
247,June - M061998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,14.6,21.8,NA,157
248,June - M061998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,12.7,NA,82
154,June - M061998,Gujarat,Ahmedabad,NA,Industrial Area,11.4,18.6,NA,239
155,June - M061998,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",7.6,85.1,NA,343
153,June - M061998,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",6.5,8.9,NA,213
247,July - M071998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,15.9,23.3,NA,151
248,July - M071998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,14.1,NA,114
154,July - M071998,Gujarat,Ahmedabad,NA,Industrial Area,17.4,17.3,NA,289
155,July - M071998,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",9.3,39.4,NA,342
153,July - M071998,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",7.8,10.1,NA,220
247,August - M081998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,13.5,22.4,NA,151
248,August - M081998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,10.2,NA,150
154,August - M081998,Gujarat,Ahmedabad,NA,Industrial Area,13,20.2,NA,217
155,August - M081998,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",8.1,38.9,NA,162
153,August - M081998,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",6,7.6,NA,185
247,September - M091998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,15.3,21.8,NA,160
248,September - M091998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,12,NA,165
154,September - M091998,Gujarat,Ahmedabad,NA,Industrial Area,10.9,24.7,NA,262
155,September - M091998,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",7.3,99,NA,303
153,September - M091998,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",7.4,15.8,NA,207
247,October - M101998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,15.2,22.5,NA,143
248,October - M101998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,11.1,NA,163
154,October - M101998,Gujarat,Ahmedabad,NA,Industrial Area,8.5,28.5,NA,251
155,October - M101998,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",6.3,89.7,NA,343
153,October - M101998,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",6.5,23.7,NA,209
247,November - M111998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,14.5,19.7,NA,146
248,November - M111998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,13.6,NA,181
155,November - M111998,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",7.8,83.4,NA,439
153,November - M111998,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",7.1,23.9,NA,335
154,November - M111998,Gujarat,Ahmedabad,NA,Industrial Area,12.8,28.4,NA,274
247,December - M121998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,14.4,20.3,NA,132
248,December - M121998,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,13.5,NA,212
154,December - M121998,Gujarat,Ahmedabad,NA,Industrial Area,25,33.4,NA,347
155,December - M121998,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",16.1,97.6,NA,491
153,December - M121998,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",11.2,41.3,NA,307
