Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
21,January - M011999,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",24.9,32.8,NA,233
22,January - M011999,Gujarat,Surat,Gujarat Pollution Control Board,Industrial Area,54.5,52.1,NA,289
23,January - M011999,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",46.1,54.1,NA,338
47,January - M011999,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",32.3,139.4,NA,185
50,January - M011999,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",23.8,69,NA,NA
51,January - M011999,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,52,279.8,NA,63
153,January - M011999,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",10.1,37.3,NA,209
154,January - M011999,Gujarat,Ahmedabad,NA,Industrial Area,18.4,35.9,NA,358
155,January - M011999,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",11.6,69.5,NA,557
220,January - M011999,Gujarat,Vapi,Gujarat Pollution Control Board,NA,66.1,51.7,NA,284
221,January - M011999,Gujarat,Vapi,Gujarat Pollution Control Board,NA,51.4,43.7,NA,329
247,January - M011999,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,15,23.3,NA,136
248,January - M011999,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,13.3,NA,228
252,January - M011999,Gujarat,Ankleshwar,Gujarat State Pollution Control Board,Industrial Area,35.7,36,NA,226
253,January - M011999,Gujarat,Ankleshwar,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",32.6,43.6,NA,226
21,February - M021999,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",22.7,28.7,NA,192
22,February - M021999,Gujarat,Surat,Gujarat Pollution Control Board,Industrial Area,35,45.8,NA,288
23,February - M021999,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",45.4,56.4,NA,334
47,February - M021999,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",56.7,87,NA,241
50,February - M021999,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",44.1,62,NA,201
51,February - M021999,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial Area,69,107.2,NA,64
153,February - M021999,Gujarat,Ahmedabad,NEER,"Residential, Rural and other Areas",7.8,24.4,NA,284
154,February - M021999,Gujarat,Ahmedabad,NA,Industrial Area,29.6,30.4,NA,319
155,February - M021999,Gujarat,Ahmedabad,NA,"Residential, Rural and other Areas",19.6,96.1,NA,499
220,February - M021999,Gujarat,Vapi,Gujarat Pollution Control Board,NA,64.4,48.6,NA,284
221,February - M021999,Gujarat,Vapi,Gujarat Pollution Control Board,NA,52.5,42.3,NA,317
247,February - M021999,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,NA,NA,136
248,February - M021999,Gujarat,Bharuch,Gujarat Pollution Control Board,NA,NA,11.9,NA,163
252,February - M021999,Gujarat,Ankleshwar,Gujarat State Pollution Control Board,Industrial Area,31.1,46.7,NA,252
253,February - M021999,Gujarat,Ankleshwar,Gujarat State Pollution Control Board,"Residential, Rural and other Areas",26.7,43.7,NA,229
21,March - M031999,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",21.1,25.8,NA,191
22,March - M031999,Gujarat,Surat,Gujarat Pollution Control Board,Industrial Area,32.9,42.2,NA,291
23,March - M031999,Gujarat,Surat,Gujarat Pollution Control Board,"Residential, Rural and other Areas",42.8,63.5,NA,313
47,March - M031999,Gujarat,Baroda,Gujarat Pollution Control Board,"Residential, Rural and other Areas",25.4,35,NA,348
