Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
101,1/4/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,13,18,160,NA
101,1/7/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,25,165,NA
101,1/11/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,28,170,NA
101,14-01-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,27,175,NA
101,18-01-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,28,176,NA
101,21-01-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,27,183,NA
101,25-01-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,26,200,NA
101,28-01-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,23,29,207,NA
101,2/1/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,12,17,165,NA
101,2/4/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,25,170,NA
101,2/8/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,20,26,180,NA
101,2/11/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,28,175,NA
101,15-02-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,27,181,NA
101,18-02-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,20,26,188,NA
101,22-02-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,25,205,NA
101,25-02-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,28,212,NA
101,3/1/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,23,170,NA
101,3/4/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,26,180,NA
101,3/8/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,28,185,NA
101,3/11/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,27,193,NA
101,15-03-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,29,180,NA
101,18-03-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,28,187,NA
101,22-03-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,26,210,NA
101,25-03-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,23,29,214,NA
101,29-03-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,26,185,NA
101,4/1/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,28,190,NA
101,4/5/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,28,198,NA
101,4/8/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,20,29,185,NA
101,4/12/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,28,192,NA
101,15-04-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,26,215,NA
101,19-04-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,28,219,NA
101,22-04-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,26,190,NA
101,26-04-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,28,195,NA
101,29-04-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,27,203,NA
101,5/3/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,23,29,244,NA
101,5/6/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,23,29,197,NA
101,5/10/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,27,220,NA
101,13-05-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,23,28,225,NA
101,17-05-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,20,26,195,NA
101,20-05-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,28,200,NA
101,24-05-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,28,208,NA
101,27-05-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,23,29,249,NA
101,31-05-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,23,29,202,NA
101,6/3/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,27,225,NA
101,6/7/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,24,197,NA
101,6/10/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,28,213,NA
101,14-06-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,26,227,NA
101,17-06-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,28,240,NA
101,21-06-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,25,205,NA
101,24-06-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,20,25,185,NA
101,28-06-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,27,188,NA
101,7/1/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,29,229,NA
101,7/5/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,24,102,NA
101,7/8/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,20,26,133,NA
101,7/12/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,24,121,NA
101,15-07-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,20,26,117,NA
101,19-07-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,27,123,NA
101,26-07-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,28,115,NA
101,28-07-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,20,26,106,NA
101,29-07-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,26,118,NA
101,8/2/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,25,98,NA
101,8/5/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,25,85,NA
101,8/9/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,27,95,NA
101,8/12/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,20,26,104,NA
101,16-08-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,24,97,NA
101,19-08-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,25,118,NA
101,23-08-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,20,26,128,NA
101,26-08-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,24,84,NA
101,30-08-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,24,94,NA
101,9/2/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,25,87,NA
101,9/6/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,20,26,95,NA
101,9/9/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,24,85,NA
101,13-09-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,27,106,NA
101,16-09-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,26,98,NA
101,20-09-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,26,84,NA
101,23-09-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,27,102,NA
101,27-09-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,27,90,NA
101,30-09-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,20,25,118,NA
101,10/4/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,26,118,NA
101,10/7/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,23,95,NA
101,10/11/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,20,25,97,NA
101,14-10-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,26,96,NA
101,18-10-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,23,114,NA
101,21-10-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,17,22,104,NA
101,25-10-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,23,98,NA
101,28-10-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,24,115,NA
101,11/1/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,26,101,NA
101,11/4/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,23,30,88,NA
101,11/8/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,17,24,130,NA
101,11/11/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,28,107,NA
101,15-11-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,22,30,96,NA
101,18-11-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,19,24,100,NA
101,22-11-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,21,28,123,NA
101,25-11-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,27,121,NA
101,29-11-10,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,17,24,93,NA
101,12/2/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,24,104,NA
101,12/6/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,18,32,105,NA
101,12/9/2010,Gujarat,Ahmedabad,"Naroda, G.I.D.C., Ahmadabad",Gujarat State Pollution Control Board,Industrial Area,17,31,104,NA
