Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
21,05-01-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,20,86,28
21,08-01-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,19,73,25
21,12-01-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,22,88,32
21,15-01-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,19,86,30
21,19-01-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,21,78,27
21,22-01-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,22,75,32
21,26-01-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,19,80,29
21,29-01-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,21,76,26
21,02-02-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,19,92,30
21,05-02-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",11,17,79,26
21,09-02-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,20,83,28
21,12-02-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,22,94,33
21,16-02-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,19,75,25
21,19-02-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,20,86,28
21,23-02-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,21,87,31
21,26-02-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,19,77,26
21,02-03-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,19,86,28
21,05-03-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",12,20,75,25
21,09-03-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,21,88,33
21,12-03-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",13,21,96,36
21,16-03-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",15,22,84,30
21,19-03-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,20,94,32
21,23-03-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,22,85,33
21,26-03-15,Gujarat,Surat,"S.V.R. Engg. College, Surat",Gujarat State Pollution Control Board,"Residential, Rural and other Areas",14,20,79,27
22,05-01-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,13,20,99,33
22,08-01-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,14,20,88,31
22,12-01-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,15,21,97,35
22,15-01-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,15,22,100,38
22,19-01-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,14,21,91,30
22,22-01-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,13,17,105,32
22,26-01-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,16,18,94,28
22,29-01-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,14,20,103,34
22,02-02-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,15,22,94,35
22,05-02-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,14,21,85,29
22,09-02-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,15,21,100,33
22,12-02-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,13,21,96,31
22,16-02-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,14,21,103,37
22,19-02-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,13,19,86,27
22,23-02-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,14,21,97,30
22,26-02-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,15,22,84,32
22,02-03-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,14,22,91,34
22,05-03-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,13,20,88,29
22,09-03-15,Gujarat,Surat,"B.R.C. High School, Udhna, Surat",Gujarat State Pollution Control Board,Industrial Area,15,21,97,32
