Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
165,1/4/2003,Maharashtra,Nagpur,NA,Industrial Area,6,14,NA,175
165,1/6/2003,Maharashtra,Nagpur,NA,Industrial Area,15,19,NA,256
165,1/10/2003,Maharashtra,Nagpur,NA,Industrial Area,6,13,NA,291
165,13-01-03,Maharashtra,Nagpur,NA,Industrial Area,4,16,NA,283
165,17-01-03,Maharashtra,Nagpur,NA,Industrial Area,6,14,NA,324
165,20-01-03,Maharashtra,Nagpur,NA,Industrial Area,6,14,NA,244
165,24-01-03,Maharashtra,Nagpur,NA,Industrial Area,7,19,NA,382
165,27-01-03,Maharashtra,Nagpur,NA,Industrial Area,5,13,NA,296
165,2/5/2003,Maharashtra,Nagpur,NA,Industrial Area,5,16,NA,156
165,2/7/2003,Maharashtra,Nagpur,NA,Industrial Area,6,12,NA,273
165,14-02-03,Maharashtra,Nagpur,NA,Industrial Area,6,10,NA,198
165,17-02-03,Maharashtra,Nagpur,NA,Industrial Area,6,14,NA,126
165,21-02-03,Maharashtra,Nagpur,NA,Industrial Area,6,15,NA,211
165,24-02-03,Maharashtra,Nagpur,NA,Industrial Area,9,20,NA,246
165,3/5/2003,Maharashtra,Nagpur,NA,Industrial Area,10,10,NA,328
165,3/7/2003,Maharashtra,Nagpur,NA,Industrial Area,16,22,NA,168
165,3/12/2003,Maharashtra,Nagpur,NA,Industrial Area,6,10,NA,228
165,19-03-03,Maharashtra,Nagpur,NA,Industrial Area,6,25,NA,151
165,24-03-03,Maharashtra,Nagpur,NA,Industrial Area,6,22,NA,174
165,26-03-03,Maharashtra,Nagpur,NA,Industrial Area,5,25,NA,251
165,4/7/2003,Maharashtra,Nagpur,NA,Industrial Area,5,10,NA,152
165,4/11/2003,Maharashtra,Nagpur,NA,Industrial Area,6,17,NA,143
165,17-04-03,Maharashtra,Nagpur,NA,Industrial Area,6,24,NA,200
165,23-04-03,Maharashtra,Nagpur,NA,Industrial Area,6,17,NA,213
165,25-04-03,Maharashtra,Nagpur,NA,Industrial Area,6,15,NA,244
165,5/5/2003,Maharashtra,Nagpur,NA,Industrial Area,6,9,NA,265
165,13-05-03,Maharashtra,Nagpur,NA,Industrial Area,4,21,NA,353
165,19-05-03,Maharashtra,Nagpur,NA,Industrial Area,3,3,NA,442
165,23-05-03,Maharashtra,Nagpur,NA,Industrial Area,6,10,NA,190
165,26-05-03,Maharashtra,Nagpur,NA,Industrial Area,6,22,NA,227
165,30-05-03,Maharashtra,Nagpur,NA,Industrial Area,6,6,NA,295
165,6/4/2003,Maharashtra,Nagpur,NA,Industrial Area,6,11,NA,284
165,6/6/2003,Maharashtra,Nagpur,NA,Industrial Area,4,4,NA,148
165,6/11/2003,Maharashtra,Nagpur,NA,Industrial Area,5,9,NA,208
165,13-06-03,Maharashtra,Nagpur,NA,Industrial Area,6,7,NA,174
165,18-06-03,Maharashtra,Nagpur,NA,Industrial Area,3,31,NA,76
165,20-06-03,Maharashtra,Nagpur,NA,Industrial Area,6,50,NA,89
165,25-06-03,Maharashtra,Nagpur,NA,Industrial Area,3,11,NA,160
165,27-06-03,Maharashtra,Nagpur,NA,Industrial Area,4,9,NA,104
165,7/4/2003,Maharashtra,Nagpur,NA,Industrial Area,4,8,NA,38
165,7/7/2003,Maharashtra,Nagpur,NA,Industrial Area,6,23,NA,89
165,7/11/2003,Maharashtra,Nagpur,NA,Industrial Area,4,20,NA,244
165,14-07-03,Maharashtra,Nagpur,NA,Industrial Area,6,10,NA,149
165,18-07-03,Maharashtra,Nagpur,NA,Industrial Area,6,7,NA,53
165,21-07-03,Maharashtra,Nagpur,NA,Industrial Area,6,7,NA,85
165,25-07-03,Maharashtra,Nagpur,NA,Industrial Area,6,6,NA,96
165,28-07-03,Maharashtra,Nagpur,NA,Industrial Area,6,16,NA,103
165,8/4/2003,Maharashtra,Nagpur,NA,Industrial Area,6,3,NA,100
165,8/6/2003,Maharashtra,Nagpur,NA,Industrial Area,6,13,NA,57
165,8/8/2003,Maharashtra,Nagpur,NA,Industrial Area,6,10,NA,24
165,8/11/2003,Maharashtra,Nagpur,NA,Industrial Area,6,12,NA,84
165,13-08-03,Maharashtra,Nagpur,NA,Industrial Area,6,11,NA,104
165,22-08-03,Maharashtra,Nagpur,NA,Industrial Area,4,16,NA,38
165,25-08-03,Maharashtra,Nagpur,NA,Industrial Area,6,10,NA,38
165,29-08-03,Maharashtra,Nagpur,NA,Industrial Area,6,9,NA,70
165,9/3/2003,Maharashtra,Nagpur,NA,Industrial Area,6,8,NA,46
165,9/5/2003,Maharashtra,Nagpur,NA,Industrial Area,4,3,NA,123
165,9/10/2003,Maharashtra,Nagpur,NA,Industrial Area,4,7,NA,87
165,9/12/2003,Maharashtra,Nagpur,NA,Industrial Area,6,11,NA,121
165,17-09-03,Maharashtra,Nagpur,NA,Industrial Area,6,6,NA,32
165,19-09-03,Maharashtra,Nagpur,NA,Industrial Area,6,3,NA,64
165,24-09-03,Maharashtra,Nagpur,NA,Industrial Area,5,3,NA,61
165,26-09-03,Maharashtra,Nagpur,NA,Industrial Area,6,6,NA,31
165,10/6/2003,Maharashtra,Nagpur,NA,Industrial Area,6,40,NA,22
165,10/8/2003,Maharashtra,Nagpur,NA,Industrial Area,4,14,NA,38
165,13-10-03,Maharashtra,Nagpur,NA,Industrial Area,5,12,NA,214
165,15-10-03,Maharashtra,Nagpur,NA,Industrial Area,14,19,NA,204
