Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/1/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.3,11.7,80,NA
1/2/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.2,12,77,NA
1/8/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.3,11,75,NA
1/9/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.5,11.3,80,NA
15/1/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.8,12,79,NA
16/1/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.5,12.7,75,NA
22/1/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.3,12.2,81,NA
23/1/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.5,11.3,78,NA
29/1/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,12.5,81,NA
30/1/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.2,13.5,77,NA
2/3/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.2,13.3,83,NA
2/6/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.7,13.7,82,NA
2/10/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.7,13.2,87,NA
13/2/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.3,12.3,84,NA
17/2/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.2,13.8,85,NA
20/2/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.7,13.8,88,NA
24/2/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.7,12.7,87,NA
27/2/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,13.2,84,NA
3/3/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.8,13.3,86,NA
3/6/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,12.2,84,NA
3/10/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,9.8,12,82,NA
13/3/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.8,13.7,82,NA
17/3/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.5,12.7,85,NA
20/3/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,10.2,12.7,80,NA
24/3/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.5,13.3,80,NA
27/3/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.7,14.5,82,NA
31/3/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.8,13.8,85,NA
4/3/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.8,14.8,79,NA
4/7/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11,13,77,NA
4/10/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.5,15,81,NA
14/4/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,11.8,13.5,82,NA
17/4/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.5,15.5,78,NA
21/4/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13,15.2,81,NA
24/4/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13.7,15.7,80,NA
28/4/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.8,15,79,NA
5/2/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13.3,15,95,NA
5/5/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12,14.3,100,NA
5/8/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.7,14.8,92,NA
5/12/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.5,15,96,NA
15/5/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13.2,15.5,91,NA
19/5/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13.2,14.8,102,NA
22/5/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,13.5,15,103,NA
26/5/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.7,14.3,107,NA
29/5/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12,14,106,NA
6/2/2009,Maharashtra,Amravati,Apurva Oil and Ind.,Industrial Areas,12.3,13.8,107,NA
