"Stn Code","Sampling Date","State","City/Town/Village/Area","Location of Monitoring Station","Agency","Type of Location","SO2","NO2","RSPM/PM10","PM 2.5"
702,01-03-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,158,NA
702,01-04-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,160,NA
702,01-10-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,158,NA
702,01-11-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,162,NA
702,17-01-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,9,161,NA
702,18-01-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,9,159,NA
702,24-01-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,10,159,NA
702,25-01-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,9,159,NA
702,31-01-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,10,160,NA
702,02-01-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,11,167,NA
702,02-07-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,10,168,NA
702,02-08-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,9,165,NA
702,14-02-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,167,NA
702,15-02-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,11,167,NA
702,21-02-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,11,167,NA
702,22-02-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,10,163,NA
702,28-02-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,10,159,NA
702,03-01-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,11,161,NA
702,03-07-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,11,166,NA
702,03-08-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,10,170,NA
702,14-03-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,11,175,NA
702,15-03-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,12,175,NA
702,04-04-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,11,169,NA
702,04-05-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,12,174,NA
702,04-11-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,11,171,NA
702,04-12-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,11,175,NA
702,18-04-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,12,176,NA
702,19-04-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",11,12,177,NA
702,25-04-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",11,12,183,NA
702,26-04-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,11,170,NA
702,05-10-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,13,173,NA
702,05-11-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,13,171,NA
702,17-05-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",11,13,168,NA
702,18-05-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",11,13,170,NA
702,24-05-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",11,13,171,NA
702,25-05-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",11,13,173,NA
702,31-05-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,13,173,NA
702,06-06-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,10,153,NA
702,06-07-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,9,158,NA
702,13-06-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,10,161,NA
702,14-06-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,10,166,NA
702,20-06-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",9,10,160,NA
702,21-06-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,10,159,NA
702,27-06-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,9,166,NA
702,28-06-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",10,10,158,NA
702,08-01-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,124,NA
702,08-02-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,122,NA
702,08-08-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,126,NA
702,08-09-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,130,NA
702,15-08-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,129,NA
702,16-08-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,9,124,NA
702,22-08-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,10,119,NA
702,23-08-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,124,NA
702,29-08-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,9,124,NA
702,30-08-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,9,127,NA
702,09-05-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,7,118,NA
702,09-06-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,123,NA
702,09-12-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,116,NA
702,13-09-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,8,118,NA
702,19-09-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,126,NA
702,20-09-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,8,120,NA
702,26-09-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,114,NA
702,27-09-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",6,7,109,NA
702,10-03-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",8,8,142,NA
702,10-04-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,139,NA
702,10-10-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,143,NA
702,10-11-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,145,NA
702,17-10-14,Maharashtra,Akola,"College Of Engineering and Technology, Akola",Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",7,8,142,NA
