Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
237,January_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,6,16,NA,55
237,March_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,0.9,9.2,NA,44
237,Annual_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,4.3,13.7,NA,51
238,February_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,5.1,15.8,NA,78
238,March_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,3.9,13.5,NA,71
238,April_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,2.3,9.1,NA,56
238,May_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,2.2,5.5,NA,42
238,June_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,1.4,4.9,NA,31
238,July_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,2.3,6.9,NA,29
238,August_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,3.7,8.4,NA,51
238,September_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,2.3,5.3,NA,40
238,October_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,3.1,5.9,NA,33
238,November_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,5.1,6.5,NA,41
238,December_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,3,3.8,NA,63
238,Annual_1995,Tamil Nadu,Coimbatore,Tamil Nadu Pollution Control Board,NA,3.1,7.9,NA,49
260,January_1995,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",1.1,2.7,NA,32
260,March_1995,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",0,7.7,NA,93
260,April_1995,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",0.3,3.7,NA,26
260,May_1995,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",0.3,3.6,NA,26
260,June_1995,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",0,5.8,NA,36
260,July_1995,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",0.2,2.2,NA,15
260,August_1995,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",0,3.4,NA,17
260,September_1995,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",0,3.1,NA,24
260,October_1995,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",0.6,3.3,NA,21
260,November_1995,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",0.3,1.7,NA,20
260,December_1995,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",0,1.4,NA,67
260,Annual_1995,Tamil Nadu,Coimbatore,Tamilnadu State Pollution Control Board,"Residential, Rural and other Areas",0.3,3.6,NA,36
