Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
8,January - M012001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,21.7,79.9,NA,420
8,February - M022001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,16.5,78.4,NA,389
8,March - M032001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,15.6,95.1,NA,287
8,April - M042001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,12.1,76.7,NA,205
8,May - M052001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,9.3,65.4,NA,118
8,June - M062001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,6.9,58,NA,90
8,August - M082001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,6.3,48.6,NA,97
8,September - M092001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,4.9,46.2,NA,142
8,October - M102001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,5.2,54.5,NA,135
8,November - M112001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,9.5,79,NA,264
8,December - M122001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,24.1,93.2,NA,407
9,January - M012001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,20.3,68.6,NA,352
9,February - M022001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,15.3,70.4,NA,323
9,March - M032001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,14.5,75.6,NA,267
9,April - M042001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,10.3,56.7,NA,NA
9,May - M052001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,8.3,49,NA,92
9,June - M062001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,6.1,47.8,NA,76
9,August - M082001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,5.8,38,NA,74
9,September - M092001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,4.1,38.9,NA,79
9,October - M102001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,4.2,45.6,NA,74
9,November - M112001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,7.7,67.8,NA,148
9,December - M122001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,21.5,74.9,NA,363
11,January - M012001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,16.5,57.9,NA,304
11,February - M022001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,12.7,61.5,NA,324
11,March - M032001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,11.3,65,NA,213
11,April - M042001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,8.6,48,NA,108
11,May - M052001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,7.2,47.4,NA,104
11,June - M062001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,5.7,41.8,NA,61
11,August - M082001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,5,33.1,NA,57
11,September - M092001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,3.9,32.8,NA,68
11,October - M102001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,3.2,37.8,NA,55
11,November - M112001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,6.5,55,NA,160
11,December - M122001,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial Area,18.6,66.1,NA,358
14,January - M012001,West Bengal,Haldia,CMEC,Industrial Area,13.8,46.6,NA,68
14,February - M022001,West Bengal,Haldia,CMEC,Industrial Area,17.1,51.5,NA,76
14,March - M032001,West Bengal,Haldia,CMEC,Industrial Area,8.7,35.8,NA,64
14,April - M042001,West Bengal,Haldia,CMEC,Industrial Area,9,32.9,NA,67
14,May - M052001,West Bengal,Haldia,CMEC,Industrial Area,10.1,31.1,NA,51
14,June - M062001,West Bengal,Haldia,CMEC,Industrial Area,13.2,41.4,NA,56
14,July - M072001,West Bengal,Haldia,CMEC,Industrial Area,13.6,30.3,NA,45
14,August - M082001,West Bengal,Haldia,CMEC,Industrial Area,12.4,35,NA,38
14,September - M092001,West Bengal,Haldia,CMEC,Industrial Area,15.2,35.8,NA,54
14,October - M102001,West Bengal,Haldia,CMEC,Industrial Area,14.2,39.2,NA,32
14,November - M112001,West Bengal,Haldia,CMEC,Industrial Area,15.7,39,NA,57
14,December - M122001,West Bengal,Haldia,CMEC,Industrial Area,11.6,43.9,NA,134
15,January - M012001,West Bengal,Haldia,CMEC,Industrial Area,16.1,92.6,NA,166
15,February - M022001,West Bengal,Haldia,CMEC,Industrial Area,11.4,68.7,NA,159
15,March - M032001,West Bengal,Haldia,CMEC,Industrial Area,16.5,56,NA,139
15,April - M042001,West Bengal,Haldia,CMEC,Industrial Area,12.1,62.5,NA,132
15,May - M052001,West Bengal,Haldia,CMEC,Industrial Area,17.9,83,NA,96
15,June - M062001,West Bengal,Haldia,CMEC,Industrial Area,18.5,77.8,NA,89
15,July - M072001,West Bengal,Haldia,CMEC,Industrial Area,15.7,46.1,NA,65
15,August - M082001,West Bengal,Haldia,CMEC,Industrial Area,17.9,50.1,NA,53
15,September - M092001,West Bengal,Haldia,CMEC,Industrial Area,18.7,48.2,NA,65
15,October - M102001,West Bengal,Haldia,CMEC,Industrial Area,24.3,48.2,NA,49
15,November - M112001,West Bengal,Haldia,CMEC,Industrial Area,21.8,57.4,NA,77
15,December - M122001,West Bengal,Haldia,CMEC,Industrial Area,14.2,56.4,NA,130
162,January - M012001,West Bengal,Calcutta,NA,Industrial Area,34.2,58,NA,789
162,February - M022001,West Bengal,Calcutta,NA,Industrial Area,46.9,73.4,NA,599
162,March - M032001,West Bengal,Calcutta,NA,Industrial Area,40.6,47.9,NA,344
162,April - M042001,West Bengal,Calcutta,NA,Industrial Area,27.8,152.8,NA,258
162,May - M052001,West Bengal,Calcutta,NA,Industrial Area,37.1,108.2,NA,169
162,June - M062001,West Bengal,Calcutta,NA,Industrial Area,18.3,100.5,NA,140
162,July - M072001,West Bengal,Calcutta,NA,Industrial Area,11.4,83.9,NA,171
162,August - M082001,West Bengal,Calcutta,NA,Industrial Area,12.2,63.9,NA,178
162,September - M092001,West Bengal,Calcutta,NA,Industrial Area,10.5,78.5,NA,320
162,October - M102001,West Bengal,Calcutta,NA,Industrial Area,8,61.7,NA,149
162,November - M112001,West Bengal,Calcutta,NA,Industrial Area,11.1,91.2,NA,187
162,December - M122001,West Bengal,Calcutta,NA,Industrial Area,7.4,113.8,NA,434
163,January - M012001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",25.4,52.7,NA,612
163,February - M022001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",29.1,49.4,NA,431
163,March - M032001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",32,43.6,NA,275
163,April - M042001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",25.2,127.4,NA,232
163,May - M052001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",32.3,110.6,NA,199
163,June - M062001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",12.7,83.7,NA,175
163,July - M072001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",11.3,75.9,NA,186
163,August - M082001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",10.8,83.7,NA,168
163,September - M092001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",8.7,79.9,NA,207
163,October - M102001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",7.3,68.6,NA,147
163,November - M112001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",8.7,83.1,NA,249
163,December - M122001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",7.2,118.1,NA,396
164,January - M012001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",13.2,34.3,NA,805
164,February - M022001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",15.7,39.4,NA,413
164,March - M032001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",18.1,25.2,NA,187
164,April - M042001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",17.5,88.1,NA,203
164,May - M052001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",34.2,70.6,NA,149
164,June - M062001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",12.5,48.5,NA,100
164,July - M072001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",10.7,48.4,NA,83
164,August - M082001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",9.7,49.4,NA,99
164,September - M092001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",7.4,40.3,NA,127
164,October - M102001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",7,34.8,NA,113
164,November - M112001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",9,52,NA,195
164,December - M122001,West Bengal,Calcutta,NA,"Residential, Rural and other Areas",6.6,90,NA,398
