Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.3,72.8,268,636
1/5/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.5,86.8,271,624
1/8/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.9,85,246,550
1/11/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,13.1,93.6,256,546
15/1/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,14.5,95.9,247,552
20/1/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,12.4,95,242,514
23/1/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,12.7,84.1,334,659
26/1/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,13.3,86.3,284,594
28/1/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,12.2,94.1,267,565
2/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,14.1,78.5,288,600
2/7/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,15.5,89.5,304,635
2/9/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,13.7,82.5,231,485
13/2/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,14.2,87.1,286,597
15/2/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,17.2,87.5,304,632
19/2/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,16,83.2,209,438
25/2/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,15.5,87.8,264,560
27/2/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,14,85.4,271,566
3/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,11.4,90.6,249,520
3/7/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,14.1,87.3,257,537
3/9/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,15,83.9,258,533
13/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,13.4,80.3,225,474
15/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,13.6,83.3,249,516
18/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,13,79.6,261,534
23/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,14,77.3,263,541
26/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,12.9,79.8,230,477
29/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,12.5,77.8,261,534
4/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,12.3,75.1,219,450
4/9/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,11.9,72,196,402
4/11/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,11.5,71.8,244,497
14/4/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,12.4,73.8,249,512
20/4/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,13.3,74.5,288,585
26/4/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,12.5,80,268,548
29/4/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,12.3,79.1,153,318
5/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.6,82.5,105,502
5/8/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.5,51.6,139,314
5/11/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.6,51.4,93,209
14/5/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.8,54.5,149,321
19/5/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.4,44.2,68,169
23/5/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.4,46.8,54,119
27/5/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.9,51.5,90,194
30/5/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.2,55.3,100,213
6/2/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.3,66.1,95,198
6/6/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.8,52.8,71,162
6/8/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.2,58.9,92,211
6/11/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.5,50.5,52,128
17/6/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8,56.1,68,162
19/6/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.7,55.9,101,229
21/6/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.9,55.2,91,215
24/6/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8,51.4,65,157
29/6/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7,49.3,65,146
7/4/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.3,52.1,55,127
7/6/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.8,46.6,52,129
7/9/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,40.4,38,107
15/7/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.9,35.6,25,71
18/7/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.6,36.6,38,93
21/7/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.3,40.2,64,156
24/7/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.9,40.8,58,139
26/7/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.6,43.7,48,118
30/7/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.3,35.8,58,125
8/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.8,39,50,100
8/7/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.1,36.5,50,111
8/9/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.9,44,101,234
8/12/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.3,44.4,37,90
18/8/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.4,34.8,27,63
22/8/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,34,51,123
24/8/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.2,35.9,47,115
27/8/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.7,35.6,50,114
30/8/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.1,36.8,55,131
9/5/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5,34.9,20,50
9/7/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,4.8,35,23,62
9/10/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,5.6,38.5,57,133
14/9/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.7,45.5,109,234
18/9/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.2,45.3,81,183
20/9/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.5,42.4,71,169
22/9/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.6,46.9,123,276
30/9/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.2,50.7,55,135
10/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.1,44,64,150
10/6/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.5,43.1,46,107
10/9/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,6.9,45.3,113,247
10/12/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,7.8,49,117,254
15/10/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.6,58.3,152,318
21/10/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.5,54.7,126,283
23/10/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.4,58,190,393
25/10/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.9,52.1,190,403
29/10/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.2,56,219,446
11/3/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.2,57.8,225,479
11/6/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.3,53,164,355
11/11/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.6,54.3,239,514
14/11/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.7,52,137,293
16/11/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.9,50,103,234
19/11/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,8.4,54.7,125,269
22/11/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.1,58.4,187,394
24/11/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.1,62.6,226,483
30/11/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.8,63.7,194,416
12/5/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.9,66.6,341,624
12/7/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.1,67.7,313,642
12/10/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,11.7,76.7,305,621
13/12/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,12,82.6,381,771
15/12/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,12.2,84.8,387,781
23/12/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,10.6,78.8,202,431
25/12/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,9.8,76.1,207,442
29/12/2009,West Bengal,Asansol,Asansol M.C.,Industrial Areas,11.2,76.6,263,550
1/3/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.6,73.3,273,654
1/5/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.6,92.2,277,658
1/8/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.7,93.6,259,578
1/11/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,15.9,101.3,275,605
15/1/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,15.7,98.9,300,637
20/1/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,15.2,110.2,326,681
23/1/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,15.6,92.5,362,755
26/1/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,15.1,87.7,327,684
28/1/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,13.2,115.3,316,654
2/3/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,16.1,91.8,349,723
2/7/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,19,105.4,368,770
2/9/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.8,89.1,247,523
13/2/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,16.9,94.1,307,638
15/2/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,18.5,93.7,329,676
19/2/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,17.8,97.2,255,530
25/2/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,17.1,90.8,304,641
27/2/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,16,92.6,290,602
3/3/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,13.7,99.6,276,577
3/7/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,16.9,92.3,287,593
3/9/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,18.1,98.4,274,565
13/3/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,15.8,88.9,249,519
15/3/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,16.7,90.7,259,542
18/3/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.6,84.6,282,579
23/3/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,16.3,88.7,275,570
26/3/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,15.8,87.9,244,506
29/3/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.6,84.1,277,566
4/3/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,13.9,83.3,247,510
4/9/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.9,81.6,238,489
4/11/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.1,81.1,255,527
14/4/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,13.6,81.3,271,562
20/4/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.1,81.5,316,644
26/4/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,13.2,84,316,645
29/4/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.1,84.9,199,408
5/4/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.2,78.9,145,323
5/9/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12,81.9,322,674
5/12/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12.5,82.7,308,640
15/5/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,13.7,82.4,217,464
20/5/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.9,72.8,163,332
22/5/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.4,77.6,127,276
24/5/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.2,73.2,112,233
28/5/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12.7,70.3,140,292
6/1/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.8,73.2,152,326
6/5/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.7,70.2,106,259
6/7/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12.6,61,175,376
6/10/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,13.2,67.2,229,497
16/6/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,13.5,72,173,390
20/6/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,13.8,70.9,181,411
22/6/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,13.4,70,180,393
25/6/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12.1,65.5,132,303
28/6/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10,61.4,143,319
7/3/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.8,53.4,110,203
7/5/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.6,58.6,84,191
7/8/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.8,51.4,74,164
14/7/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.7,57.6,160,332
18/7/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.7,59,117,255
20/7/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.8,55.9,143,296
23/7/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.8,50.6,77,169
27/7/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.8,48.9,84,193
29/7/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.5,51.6,78,173
8/2/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8,46.7,99,207
8/8/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7,39.9,80,175
8/10/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.4,47.5,79,166
13/8/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.4,50.3,53,120
19/8/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.4,47.3,69,157
21/8/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.3,42,60,134
25/8/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.1,44.6,144,293
28/8/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.8,45.8,81,187
31/8/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.2,56.6,135,283
9/4/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.1,36.7,64,140
9/6/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,6,35.2,68,143
9/12/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.7,52.8,157,331
15/9/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.7,46.3,124,269
17/9/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.5,44.7,111,239
21/9/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,7.6,46.9,67,172
23/9/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.3,52.4,197,390
29/9/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9,59.6,80,192
10/2/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.3,53.4,122,253
10/5/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8,47.3,117,245
10/8/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9,53.9,149,299
10/11/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,8.6,58.6,221,434
14/10/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.7,58.7,197,399
20/10/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.4,56,282,554
24/10/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.4,58.7,294,599
26/10/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.7,60,318,618
30/10/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.5,66.1,270,545
11/2/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,9.7,63.7,300,620
11/7/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.3,69.8,329,672
11/10/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.5,73.7,351,724
11/12/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.5,72.2,320,640
15/11/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.4,70.8,351,712
20/11/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.4,72.4,361,734
23/11/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.3,70.3,328,706
25/11/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11,73,418,857
29/11/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,10.6,71.7,377,780
12/4/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.4,75.6,450,894
12/6/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,11.5,80.7,518,1027
12/9/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12,84.1,434,864
14/12/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,13.3,92.5,451,925
17/12/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12.6,93.4,493,981
22/12/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,13.7,100.1,570,1117
26/12/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,14.9,106.7,589,1100
30/12/2009,West Bengal,Durgapur (WB),Dew India Ltd,Industrial Areas,12,95.8,486,985
1/3/2009,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,8,68,255,617
1/5/2009,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,8,86.6,262,622
1/8/2009,West Bengal,Durgapur (WB),Kwality Hotel,Industrial Areas,9.3,87,244,553
