Stn Code,Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Agency,Type of Location,SO2,NO2,RSPM/PM10,PM 2.5
11,02-01-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",10,40,138,83
11,06-01-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",12,40,132,76
11,08-01-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",15,46,125,78
11,12-01-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",13,42,121,76
11,17-01-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",14,42,124,74
11,20-01-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",15,37,114,69
11,22-01-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",20,48,146,86
11,28-01-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",20,63,140,76
11,30-01-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",16,49,116,70
11,05-02-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",19,58,146,87
11,08-02-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",14,46,150,86
11,11-02-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",23,68,170,107
11,14-02-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",19,57,171,104
11,17-02-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",20,52,153,83
11,20-02-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",16,54,150,86
11,23-02-15,West Bengal,Howrah,"Bator, Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",12,42,104,60
